Name,Temple Code,Numeric Code,,,,,,,,
MOUNT TIMPANOGOS UTAH ,MTIMP,57,,Mt. Timpanogos Utah,10/21/1996,,0,Mt. Timpanogos Utah,10/21/1996,0
NASHVILLE TENNESSEE,NASHV,62,,Nashville Tennessee,,,0,Nashville Tennessee,1/0/1900,0
NAUVOO,NAUVO,2,NV,Nauvoo,9/10/1840,2/7/1846,NV,Nauvoo,9/10/1840,2/7/1846
NAUVOO ILLINOIS,NAUV2,116,,Nauvoo Illinois (new),,,0,Nauvoo Illinois (new),1/0/1900,0
NEWPORT BEACH CALIFORNIA,NBEAC,126,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NUKU'ALOFA TONGA,NUKUA,28,TG,Nuku'alofa Tonga,8/12/1983,,TG,Nuku'alofa Tonga,8/12/1983,0
HAMILTON NEW ZEALAND,NZEAL,15,NZ,New Zealand,4/22/1958,,NZ,New Zealand,4/22/1958,0
OAKLAND CALIFORNIA,OAKLA,17,OK,Oakland,12/1/1964,,OK,Oakland,12/1/1964,0
OAXACA MEXICO,OAXAC,105,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OGDEN UTAH,OGDEN,19,OG,Ogden,1/22/1972,,OG,Ogden,1/22/1972,0
OKLAHOMA CITY OKLAHOMA,OKLAH,109,,Oklahoma City Oklahoma,,,0,Oklahoma City Oklahoma,1/0/1900,0
ORLANDO FLORIDA ,ORLAN,53,,Orlando Florida,10/12/1994,,0,Orlando Florida,10/12/1994,0
OTHER,OTHER,1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PORTO ALEGRE BRAZIL,PALEG,72,,Pôrto Alegre Brazil,,,0,Pôrto Alegre Brazil,1/0/1900,0
PALMYRA NEW YORK,PALMY,104,,Palmyra New York,,,0,Palmyra New York,1/0/1900,0
PANAMA CITY PANAMA,PANAM,132,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PAPEETE TAHITI,PAPEE,27,TA,Papeete Tahiti,10/29/1983,,TA,Papeete Tahiti,10/29/1983,0
PERTH AUSTRALIA,PERTH,117,,Perth Australia,,,0,Perth Australia,1/0/1900,0
